,pred
2002-07-05 12:10:00,0.7629
2002-07-05 12:20:00,0.8135
2002-07-05 12:30:00,0.8589
2002-07-05 12:40:00,0.8988
2002-07-05 12:50:00,0.933
2002-07-05 13:00:00,0.9611
2002-07-05 13:10:00,0.9829
2002-07-05 13:20:00,0.9984
2002-07-05 13:30:00,1.0073
2002-07-05 13:40:00,1.0096
2002-07-05 13:50:00,1.0054
2002-07-05 14:00:00,0.9945
2002-07-05 14:10:00,0.9771
2002-07-05 14:20:00,0.9534
2002-07-05 14:30:00,0.9233
2002-07-05 14:40:00,0.8872
2002-07-05 14:50:00,0.8453
2002-07-05 15:00:00,0.7979
2002-07-05 15:10:00,0.7453
2002-07-05 15:20:00,0.6878
2002-07-05 15:30:00,0.6258
2002-07-05 15:40:00,0.5598
2002-07-05 15:50:00,0.4902
2002-07-05 16:00:00,0.4174
2002-07-05 16:10:00,0.3421
2002-07-05 16:20:00,0.2645
2002-07-05 16:30:00,0.1854
2002-07-05 16:40:00,0.1052
2002-07-05 16:50:00,0.0245
2002-07-05 17:00:00,-0.0563
2002-07-05 17:10:00,-0.1365
2002-07-05 17:20:00,-0.2156
2002-07-05 17:30:00,-0.2931
2002-07-05 17:40:00,-0.3684
2002-07-05 17:50:00,-0.4412
2002-07-05 18:00:00,-0.5108
2002-07-05 18:10:00,-0.5769
2002-07-05 18:20:00,-0.6389
2002-07-05 18:30:00,-0.6966
2002-07-05 18:40:00,-0.7495
2002-07-05 18:50:00,-0.7973
2002-07-05 19:00:00,-0.8397
2002-07-05 19:10:00,-0.8764
2002-07-05 19:20:00,-0.9072
2002-07-05 19:30:00,-0.932
2002-07-05 19:40:00,-0.9505
2002-07-05 19:50:00,-0.9628
2002-07-05 20:00:00,-0.9687
2002-07-05 20:10:00,-0.9682
2002-07-05 20:20:00,-0.9614
2002-07-05 20:30:00,-0.9483
2002-07-05 20:40:00,-0.9292
2002-07-05 20:50:00,-0.9041
2002-07-05 21:00:00,-0.8733
2002-07-05 21:10:00,-0.8369
2002-07-05 21:20:00,-0.7954
2002-07-05 21:30:00,-0.749
2002-07-05 21:40:00,-0.6981
2002-07-05 21:50:00,-0.6431
2002-07-05 22:00:00,-0.5843
2002-07-05 22:10:00,-0.5222
2002-07-05 22:20:00,-0.4573
2002-07-05 22:30:00,-0.3901
2002-07-05 22:40:00,-0.321
2002-07-05 22:50:00,-0.2505
2002-07-05 23:00:00,-0.1792
2002-07-05 23:10:00,-0.1076
2002-07-05 23:20:00,-0.0361
2002-07-05 23:30:00,0.0347
2002-07-05 23:40:00,0.1043
2002-07-05 23:50:00,0.1722
2002-07-06 00:00:00,0.2379
2002-07-06 00:10:00,0.301
2002-07-06 00:20:00,0.3611
2002-07-06 00:30:00,0.4176
2002-07-06 00:40:00,0.4703
2002-07-06 00:50:00,0.5188
2002-07-06 01:00:00,0.5627
2002-07-06 01:10:00,0.6018
2002-07-06 01:20:00,0.6358
2002-07-06 01:30:00,0.6645
2002-07-06 01:40:00,0.6876
2002-07-06 01:50:00,0.7051
2002-07-06 02:00:00,0.7169
2002-07-06 02:10:00,0.7229
2002-07-06 02:20:00,0.7232
2002-07-06 02:30:00,0.7176
2002-07-06 02:40:00,0.7064
2002-07-06 02:50:00,0.6896
2002-07-06 03:00:00,0.6674
2002-07-06 03:10:00,0.6399
2002-07-06 03:20:00,0.6075
2002-07-06 03:30:00,0.5704
2002-07-06 03:40:00,0.5289
2002-07-06 03:50:00,0.4833
2002-07-06 04:00:00,0.434
2002-07-06 04:10:00,0.3813
2002-07-06 04:20:00,0.3258
2002-07-06 04:30:00,0.2679
2002-07-06 04:40:00,0.2079
2002-07-06 04:50:00,0.1464
2002-07-06 05:00:00,0.0839
2002-07-06 05:10:00,0.0208
2002-07-06 05:20:00,-0.0423
2002-07-06 05:30:00,-0.1051
2002-07-06 05:40:00,-0.1669
2002-07-06 05:50:00,-0.2273
2002-07-06 06:00:00,-0.2859
2002-07-06 06:10:00,-0.3421
2002-07-06 06:20:00,-0.3956
